slot,P_grid_kw,P_it_kw,P_grid_it_kw,P_chiller_kw,P_ups_ch_kw,P_ups_disch_kw,E_ups_kwh,E_tes_kwh,total_cpu,da_price,x_bm_off_kw,x_bm_bid_kw,committed_down_kw,committed_up_kw
75,6248.405749823486,4920.492468691882,4920.492468691882,796.9632811316046,0.0,0.0,5728.260869565217,3055.5555555555557,0.4901161952740707,139.53,22776.470812439722,4426.037516348303,5826.233052922973,1325.5567338282096
76,6191.640590889085,4920.492468691882,4920.492468691882,740.1981221972025,0.0,0.0,5728.260869565217,2361.111111111111,0.4901161952740707,139.53,22719.70565350532,4482.8026752827045,5826.233052922973,1325.5567338282096
77,5588.198526636196,5322.516702371071,4189.134249933579,868.1142767026178,0.0,1133.3824524374888,5420.2765074898125,1666.6666666666665,0.5350004516670337,129.15,22545.597574331547,5086.244739535593,4189.13424993358,1325.5567338282096
78,5359.046056381324,5189.134249933579,4189.134249933579,638.9618064477452,0.0,1000.0,5148.5373770550295,833.3333333333333,0.5203132940379736,129.15,22449.827556514167,5315.397209790465,4189.13424993358,1325.5567338282096
79,6410.086853125885,5781.031672020998,4189.134249933579,1690.0026031923064,0.0,1591.8974220874188,4715.956555835623,0.0,0.5854889642971953,117.49,22908.970931171312,4264.356413045904,4189.13424993358,1325.5567338282096
80,6536.539173972592,5004.65764497716,5004.65764497716,1000.9315289954319,0.0,0.0,4715.956555835623,0.0,0.5,117.49,23811.79727906185,4137.904092199197,4189.13424993358,1325.5567338282096
81,8867.036293921767,6314.72012547509,6314.72012547509,2021.3661684466767,0.0,0.0,4715.956555835623,0.0,0.6419478451649921,99.44,22706.646042971584,3132.9637060782325,6314.72012547509,0.0
82,8224.383539843155,6314.72012547509,6314.72012547509,1378.7134143680637,0.0,0.0,4715.956555835623,0.0,0.6419478451649921,99.44,22063.993288892972,3775.6164601568457,6314.72012547509,0.0
83,9454.453629096119,6870.922194280208,6870.922194280208,2052.5814348159092,0.0,0.0,4715.956555835623,0.0,0.7,94.55,22737.86130934082,2545.5463709038822,6314.72012547509,0.0
84,8173.29326358,6314.72012547509,6314.72012547509,1327.6231381049101,0.0,0.0,4715.956555835623,0.0,0.6419478451649921,94.55,22012.90301262982,3826.7067364199993,6314.72012547509,0.0
85,10561.943004982542,7625.96744339562,7625.96744339562,2405.0255615869214,0.0,0.0,4715.956555835623,0.0,0.7752745450877127,87.14,23090.305436111827,1438.0569950174586,6314.72012547509,0.0
86,8787.285177664926,6880.27931472077,6880.27931472077,1376.0558629441541,0.0,0.0,4715.956555835623,0.0,0.700932861951412,87.14,22061.335737469064,3212.714822335074,6314.72012547509,0.0
87,10516.762855675277,7613.693247790303,7613.693247790303,2372.119607884973,0.0,0.0,4715.956555835623,0.0,0.7740508641340343,89.23,23057.39948240988,1483.237144324723,6314.72012547509,0.0
88,8776.05663313625,6870.922194280208,6870.922194280208,1374.1844388560414,0.0,0.0,4715.956555835623,0.0,0.7,89.23,22059.46431338095,3223.9433668637494,6314.72012547509,0.0
89,11157.241993129048,8084.882076442508,8084.882076442508,2541.4099166865385,0.0,0.0,4715.956555835623,0.0,0.8202000000000006,83.13,23226.68979121145,842.7580068709531,6314.72012547509,0.0
90,10173.124009676265,7873.977408012294,7873.977408012294,1768.1966016639703,0.0,0.0,4715.956555835623,0.0,0.8,83.13,22453.47647618888,1826.8759903237342,6314.72012547509,0.0
91,9849.872232181018,7341.355089520562,7341.355089520562,1977.5671426604558,0.0,0.0,4715.956555835623,0.0,0.7469000000000006,73.63,22662.847017185366,2150.127767818981,6314.72012547509,0.0
92,10882.666115372056,7828.839923394351,7828.839923394351,2522.876191977704,0.0,0.0,4715.956555835623,0.0,0.7955000000000001,73.63,23208.15606650261,1117.333884627944,6314.72012547509,0.0
93,8108.614150570108,6314.72012547509,6314.72012547509,1262.944025095018,0.0,0.0,4715.956555835623,0.0,0.6419478451649921,75.6,21948.223899619927,3891.385849429891,6314.72012547509,0.0
94,8108.614150570108,6314.72012547509,6314.72012547509,1262.944025095018,0.0,0.0,4715.956555835623,0.0,0.6419478451649921,75.6,21948.223899619927,3891.385849429891,6314.72012547509,0.0
95,11520.90246614712,7873.977408012294,7873.977408012294,3115.9750581348253,0.0,0.0,4715.956555835623,0.0,0.8,67.86,23801.254932659736,479.0975338528797,6314.72012547509,0.0
96,10855.486866181622,7873.977408012294,7873.977408012294,2450.5594581693267,0.0,0.0,4715.956555835623,675.0000000000001,0.8,67.86,23135.839332694235,1144.5131338183792,6314.72012547509,0.0
97,10465.8037475395,7749.641789879292,7749.641789879292,2185.2119576602067,0.0,0.0,4715.956555835623,1350.0000000000002,0.7876043096700147,72.76,0.0,0.0,0.0,0.0
98,8776.05663313625,6870.922194280208,6870.922194280208,1374.1844388560414,0.0,0.0,4715.956555835623,1350.0000000000002,0.7,72.76,0.0,0.0,0.0,0.0
99,11377.281728825443,7873.977408012294,7873.977408012294,2972.3543208131464,0.0,0.0,4715.956555835623,1350.0000000000002,0.8,70.71,0.0,0.0,0.0,0.0
100,10205.525933716899,7873.977408012294,7873.977408012294,1800.5985257046045,0.0,0.0,4715.956555835623,1941.666666666666,0.8,70.71,0.0,0.0,0.0,0.0
101,13894.21301846325,7873.977408012294,7873.977408012294,2789.285610450955,2700.0,0.0,5269.456555835623,1941.666666666666,0.8,65.04,0.0,0.0,0.0,0.0
102,13597.141148585968,7801.757432623592,7801.757432623592,2564.433715962375,2700.0,0.0,5822.956555835623,2616.666666666666,0.7928000000000008,65.04,0.0,0.0,0.0,0.0
103,10541.044446897962,6870.922194280208,6870.922194280208,2275.545695718351,863.6265568994021,0.0,6000.0,3291.666666666666,0.7,66.23,0.0,0.0,0.0,0.0
104,9970.526014919771,6870.922194280208,6870.922194280208,2568.6538206395626,0.0,0.0,6000.0,3966.666666666666,0.7,66.23,0.0,0.0,0.0,0.0
105,9767.31882956249,6870.922194280208,6870.922194280208,2365.4466352822806,0.0,0.0,6000.0,4641.666666666666,0.7,67.21,0.0,0.0,0.0,0.0
106,8182.736056233621,5876.488380194684,5876.488380194684,1775.2976760389367,0.0,0.0,6000.0,5316.666666666666,0.5960000000000001,67.21,0.0,0.0,0.0,0.0
107,8421.781529818594,6075.692941515495,6075.692941515495,1815.138588303099,0.0,0.0,6000.0,5991.666666666666,0.617,68.08,0.0,0.0,0.0,0.0
108,7026.327592994499,5912.814660828746,5912.814660828746,582.5629321657493,3.637978807091713e-12,0.0,6000.0,6666.666666666666,0.6,68.08,0.0,0.0,0.0,0.0
