local_date,intervals,mean_price,price_std,minimum_price,maximum_price,mean_grid_import,peak_grid_import,mean_total_cpu,settlement_cost,opening_ups,opening_tes,opening_cold_aisle,negative_price_share,representative_score
2025-12-22,96,78.64958333333333,12.85792566692391,54.83,98.74,773.0347516085709,1271.64060803596,0.5675237105349303,1433.1541357863584,300.0,-0.0,23.0,0.0,0.4094580146195176
2025-02-27,96,96.96541666666667,15.648745698292384,80.18,131.25,777.0262173976517,1356.55481830062,0.5654166666666667,1730.660193247543,300.0,-0.0,23.0,0.0,0.41056637881939884
2025-07-09,96,83.76958333333333,13.307462877859699,70.2,111.14,776.0247704601879,1186.61062004093,0.5654166666666668,1505.3393640744978,300.0,-0.0,23.0,0.0,0.4111670870815173
2025-05-23,96,88.23708333333333,10.053257122541426,73.85,109.7,771.0407726023062,1271.38362363904,0.5654166666666668,1596.5708868806248,300.0,-0.0,23.0,0.0,0.4114471077613653
2025-08-21,96,80.02916666666667,8.403864232309315,71.57,98.98,770.2794423070553,1271.38362776589,0.5654166666666668,1454.53941955926,300.0,-0.0,23.0,0.0,0.41249957663988385
2025-08-22,96,82.37166666666667,8.813972479943025,72.55,102.39,770.174377017839,1271.45588209441,0.5654166666666668,1497.098073147108,300.0,-0.0,23.0,0.0,0.4132300921761493
2025-02-20,96,86.91708333333334,18.11337057283298,57.77,118.14,774.0084379597001,1226.28712988834,0.563309622798403,1541.8148052284507,300.0,-0.0,23.0,0.0,0.41423530203975856
2025-07-22,96,81.12833333333333,9.856150488712121,69.77,101.11,770.4618171682181,1239.85185947513,0.5654166666666668,1471.3255612961254,300.0,-0.0,23.0,0.0,0.4143386258691529
2025-12-16,96,87.77833333333332,16.803464471519387,65.52,120.82,771.5275752090209,1186.61045599907,0.5654166666666667,1583.1879136721698,300.0,-0.0,23.0,0.0,0.4153288315536615
2025-04-20,96,83.86916666666666,9.227080471909176,74.69,107.48,770.3404538755095,1271.38362363902,0.5654166666666667,1526.7442713963762,300.0,-0.0,23.0,0.0,0.417060111556029
2025-03-31,96,95.79875,18.42211469945836,70.06,128.25,774.5729047723142,1356.55776026627,0.563309622798403,1689.0020291246262,300.0,-0.0,23.0,0.0,0.4188126170399016
2025-08-16,96,77.40166666666666,8.610480109686018,65.78,95.9,770.3699865807507,1239.8517798644,0.5654166666666667,1409.7667142542666,300.0,-0.0,23.0,0.0,0.4192254329156105
2025-07-20,96,78.98458333333333,11.492692773801197,54.34,98.76,770.5620295192963,1626.59359169056,0.5654166666666668,1426.5226756027016,300.0,-0.0,23.0,0.0,0.41944036617872466
2025-07-21,96,84.73458333333333,8.859762134940157,74.42,103.17,770.5431974463617,1271.4433369395,0.5654166666666668,1539.9329348207477,300.0,-0.0,23.0,0.0,0.4217214882698482
2025-06-07,96,83.58083333333333,10.92932161102385,62.9,103.41,778.2716908002104,1637.00026152219,0.5654166666666667,1510.7456638324481,300.0,-0.0,23.0,0.0,0.4237430219188564
2025-07-25,96,79.8575,9.958040073491537,65.01,97.29,769.2059956340604,1239.85180118015,0.5648081348662675,1443.5945054165318,300.0,-0.0,23.0,0.0,0.4257209112013995
